Name,Location,Salary,Description,desc_len,max_salary,min_salary,avg_salary
Metyis,Bengaluru,8 - 9 ,"Education: Graduate degree or higher with courses in programming, econometrics / data science. Independently execute data science projects for our clients.…",156,8,9,8.5
Blue Data Consulting,Delhi,45 - 70 ,"As a Data Science Trainer, you will be responsible for designing, developing, and delivering training programs focused on data science concepts.…",145,45,70,57.5
IDFC FIRST Bank,Mumbai,9 ,Able to understand business perspective and proactively identify solutions with business problem of ensuring best customer experience.…,135,9,9,9.0
C2FO ITPL,Noida,4 - 5 ,"The D&DS team is responsible for C2FO’s end-to-end data solutions, focusing on data architectures, data science and machine learning, business intelligence and……",161,4,5,4.5
Xitadel,Bengaluru,5 - 8 ,"Familiarity with Deep Learning frameworks such as Tensorflow and PyTorch, and strong experience in at least one of those for Image Classification & Object……",156,5,8,6.5
Starmark Software,Bengaluru,3 - 7 ,Industry and Academic Awareness: Stays up-to-date with the latest developments in around data analysis and associated technologies in both academia and industry……,162,3,7,5.0
Merilytics,Hyderābād,9 - 10 ,"As a member of the Data Science team, You will need to leverage your expertise in advanced analytics and work closely with our technical team and core business……",161,9,10,9.5
Hotspot Retail,Remote,20 - 50 ,Mentor junior members of the data science team and contribute to knowledge sharing within the organization. 6-10 years of hands-on experience in a data science……,161,20,50,35.0
Oracle,Bengaluru,5 - 8 ,"Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product,……",162,5,8,6.5
Nlineaxis,Jaipur,7 - 10 ,"Connect Power BI / Viz tool to different data sources, import data and transform data. Adept in developing, publishing and scheduling Power BI reports and to……",159,7,10,8.5
Dolby,Bengaluru,3 - 8 ,"Therefore, Dolby is looking for an AI researcher/mathematician to analyze large amounts of raw data generated continuously from various systems.…",145,3,8,5.5
SearchUrCollege,Noida,5 - 13 ,Knowledge of data visualization tools like Tableau/Power Bi etc will be an added advantage. Travel and engage clients directly to translate their business needs……,162,5,13,9.0
RARR Technologies Pvt Ltd,Bengaluru,60 ,"Proven experience as a Data Scientist with a strong emphasis on architectural responsibilities. Proficiency or expertise in Data Science, AI/ML, Big Data, GenAI……",162,60,60,60.0
Codash Solutions,Remote,80 - 85 ,Collaborate with cross-functional teams to understand and address data requirements. Implement and enforce data governance and security best practices.…,152,80,85,82.5
IDFC FIRST Bank,Mumbai,3 - 9 ,"Identify and scope business requirements and priorities through rigorous information gathering and analysis as well as clarification of the solutions,……",152,3,9,6.0
Edureify Technology,Noida,3 - 7 ,You will work closely with students to ensure that they have a deep understanding of data science and are equipped with the skills needed to succeed in the……,157,3,7,5.0
Log9 Materials,Bengaluru,3 - 5 ,"You will take responsibility for managing our master data set, developing reports, and troubleshooting data issues. Familiarity with data visualization tools.…",159,3,5,4.0
SupplyValid Pvt Ltd,Noida,3 ,"\*\*Collaborative Analysis:\*\* Collaborate closely with cross-functional teams to understand data requirements, address analytical questions, and support……",156,3,3,3.0
TIGI HR Solution Pvt. Ltd.,Bengaluru,15 - 18 ,Converting data into usable information that is easy to understand. Understanding data storage and data sharing methods. R Programming: 3 years (Preferred).…,157,15,18,16.5
Fiddler AI,Bengaluru,4 - 6 ,"Data Science, MLOps, and business teams use Fiddler AI to monitor, explain, analyze, and improve their AI solutions to identify performance gaps, mitigate bias,……",162,4,6,5.0
Tesco Bengaluru,Bengaluru,7 - 10 ,"These help us to deliver the maximum business impact. Whether making products, software or systems, our teams focuses on various aspects from taking strategic……",160,7,10,8.5
RubyPy,Indore,2 - 9 ,"Data science: 3 years (Required). Advanced degree in data science, statistics, computer science, or similar. Extensive experience as a data scientist.…",151,2,9,5.5
Manipal University,Bengaluru,31 ,"M. Sc. in life science stream with minimum 70% marks. They will be responsible for data documentation, validation and compilation and.…",135,31,31,31.0
Innorenovate,Remote,24 - 26 ,"As a Senior SQL Developer, you will play a crucial role in supporting life sciences analytical use cases by querying and analysing a wide range of healthcare……",159,24,26,25.0
Bradken,Coimbatore,2 - 10 ,"With your analytical expertise and deep understanding of big data platforms, you will play a key role in building our data science capabilities, shaping our……",158,2,10,6.0
Epsilon,Bengaluru,6 - 10 ,Follow a data loading plan and support data maintenance policy. Ability to generate and interpret data field reports and quantify data variations.…,147,6,10,8.0
Algoscale,Noida,6 - 8 ,Enhancing data collection procedures to include information that is relevant for building analytic systems. Extending company’s data with third party sources of……,162,6,8,7.0
AlignTech,Hyderābād,4 - 7 ,Ad hoc data requests from business stakeholders. May require weekend support of 2-3 hours based on situation. The Data Analyst will be responsible for providing……,162,4,7,5.5
Microsoft,Bengaluru,4 - 10 ,"The team works across Engineering, Product and Business to address complex data science problems across users, advertisers, and publishers.…",140,4,10,7.0
Naviga Inc.,New Delhi,2 - 6 ,"In an industry that is constantly on the move and evolving, the role of a Data Scientist requires a talented individual with strong technical acumen in modern……",160,2,6,4.0
Gennext,Delhi,12 - 18 ,We are looking for Data Analyst Who can Extract data from ERP and analyze/She must have 3-5 years of relevant experience. Ensuring the data is correct.…,152,12,18,15.0
Consilio LLC,Hyderābād,4 - 6 ,Data Operations role at Consilio requires deep understanding of file structures and forensic images to ingest electronic data into our proprietary processing……,159,4,6,5.0
Neurons AI Pvt Ltd,Bengaluru,6 - 8 ,3-4 years of hands-on experience in machine learning model development. Total work: 3 years (Required). Collaboration and Communication:*Work closely with data……,161,6,8,7.0
Infosys,Bengaluru,3 - 9 ,In order to Document or guide documentation of simple as-is customer processes Appreciate the context of customer requirements from specific engagements Ability……,162,3,9,6.0
Emerson,Pune,6 - 9 ,Minimum 6 months of experience working with large language models and Neural networks (ANN). Exp 2 to 3 Yrs. with minimum 2 yrs. in python development ……,153,6,9,7.5
Episeio business solutions,Bengaluru,18 ,Leveraging company data to drive business solutions. Ability to understand the problem statement and implement data science solutions &…,136,18,18,18.0
UniConverge Technologies Pvt. Ltd.,Sasarām,41 - 95 ,"Total work: 3 years (Preferred). Decide course syllabus, contents, and presentations. Give training on Data Science, Machine Learning and AI.…",142,41,95,68.0
JPMorgan Chase & Co,Outer Ring Road,2 - 7 ,Understand business requirement and plan solution to address data needs. Ability to work in a collaborative environment and coach other team members on coding……,160,2,7,4.5
Telstra,Bengaluru,6 - 7 ,"Knowledge of business requirements gathering, data profiling, and data analysis. You will also be working closely with Data Engineering and Data Science……",154,6,7,6.5
UniConverge Technologies Pvt. Ltd.,Sheohar,6 - 11 ,"Total work: 3 years (Preferred). Decide course syllabus, contents, and presentations. Give training on Data Science, Machine Learning and AI.…",142,6,11,8.5
Lightrains Technolabs,Thiruvananthapuram,3 - 8 ,"This role requires a professional who can seamlessly integrate with our product teams, offering insights from complex data sources and driving the direction of……",161,3,8,5.5
Airtel India,Gurgaon,200.00 Per hour ,"3 to 6 years of experience with machine learning model development in credit risk and underwriting. Design, run and analyze A/B and multivariate hypothesis……",157,200,200,200.0
Snapchat,Mumbai,2 - 7 ,"Apply your expertise in quantitative analysis, data mining, and statistical modeling to deliver impactful, objective, and actionable data insights that enable……",160,2,7,4.5
